Game ID,Game Name,Brand,Category,Image URL
,"5 Lions Megaways","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4837/public
,"5 Lions Megaways","EVO888H5",Slot,https://igamingapis.com/img/12504.png
,"5 Lions Megaways","PragmaticPlay-Asia",HotSlots,https://igamingapis.com/img/5450.png
,"5 Lions Megaways 2","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4522/public
,"5 Lions Megaways 2","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5071/public
,"5 Lions Reborn","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4509/public
,"5 Lions Reborn","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5057/public
,"5 Lucky Lions","Habanero",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1202/public
,"5 Mariachis","Habanero",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1203/public
,"5 Monsters","RelaxGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1204/public
,"5 Rabbits Megaways","PragmaticPlay-Asia",HotSlots,https://igamingapis.com/img/5321.png
,"5 Rabbits Megaways™","EVO888H5",Slot,https://igamingapis.com/img/12530.png
,"5 Reel Drive","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/856/public
,"5 Star Knockout","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/574/public
,"5 Super Sevens & Fruits","Playson",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1205/public
,"5 Wukong","EpicWin",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1206/public
,"568win Sportsbook","SBO",Sports,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7464/public
,"5D Lottery 1","MAC 88",Virtual,https://igamingapis.com/img/11471.png
,"5D Lottery 10","MAC 88",Virtual,https://igamingapis.com/img/11468.png
,"5D Lottery 3","MAC 88",Virtual,https://igamingapis.com/img/11470.png
,"5D Lottery 5","MAC 88",Virtual,https://igamingapis.com/img/11469.png
,"5PK","BtGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1207/public
,"5X Diamond 7","YGRGaming",flash,https://igamingapis.com/img/1208.png
,"5x Magic","PlaynGo",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1209/public
,"6 Jokers","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5141/public
,"6 Jokers","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4589/public
,"6 Player Poker","MAC 88",Poker,https://igamingapis.com/img/11516.png
